date,tavg,tmin,tmax,prcp,snow,wspd,wpgt,pres,tsun,city
2003-01-01,-7.0,-11.7,0.7,12.1,10.0,14.0,30.6,1009.8,42.0,Berlin
2003-01-02,5.5,0.4,7.7,16.6,0.0,13.7,37.4,986.5,0.0,Berlin
2003-01-03,0.1,-1.2,2.6,0.9,0.0,10.1,29.2,993.1,0.0,Berlin
2003-01-04,-2.8,-7.7,-1.2,0.0,20.0,12.6,25.2,1006.4,168.0,Berlin
2003-01-05,-6.4,-9.6,-3.4,0.5,20.0,10.4,24.1,1011.6,114.0,Berlin
2003-01-06,-5.2,-9.2,-3.4,0.2,30.0,13.7,34.2,1013.2,0.0,Berlin
2003-01-07,-10.4,-12.8,-6.4,0.0,40.0,6.1,21.2,1021.7,318.0,Berlin
2003-01-08,-11.0,-14.6,-6.3,0.0,40.0,4.3,12.6,1022.1,360.0,Berlin
2003-01-09,-10.0,-14.9,-5.8,0.0,40.0,5.8,18.0,1022.7,6.0,Berlin
2003-01-10,-5.5,-7.9,-2.8,0.0,40.0,10.8,24.8,1024.7,0.0,Berlin
2003-01-11,-6.7,-10.0,-3.8,0.0,40.0,9.0,28.4,1033.7,6.0,Berlin
2003-01-12,-1.0,-5.0,1.1,3.4,40.0,19.4,40.0,1028.5,0.0,Berlin
2003-01-13,1.3,-1.2,3.8,3.3,80.0,21.2,44.6,1018.6,0.0,Berlin
2003-01-14,6.0,3.5,7.4,0.9,0.0,25.9,46.8,1020.8,0.0,Berlin
2003-01-15,5.6,3.5,7.3,0.1,0.0,25.6,49.0,1021.6,0.0,Berlin
2003-01-16,5.2,3.0,6.7,0.1,0.0,25.9,52.9,1020.9,18.0,Berlin
2003-01-17,3.3,0.0,5.9,0.0,0.0,15.8,38.9,1023.1,426.0,Berlin
2003-01-18,1.6,-0.8,3.4,0.0,0.0,13.3,32.0,1017.2,0.0,Berlin
2003-01-19,2.5,1.1,4.7,1.4,0.0,14.8,34.6,1012.9,282.0,Berlin
2003-01-20,4.8,2.2,8.7,0.0,0.0,16.6,35.3,1007.5,312.0,Berlin
2003-01-21,2.8,-0.4,6.0,0.0,0.0,15.5,30.2,998.8,126.0,Berlin
2003-01-22,1.6,-1.4,6.6,0.0,0.0,10.8,23.8,998.9,258.0,Berlin
2003-01-23,3.7,0.7,6.3,1.7,0.0,7.2,22.3,1011.4,0.0,Berlin
